step,loss,lrm,tok_per_sec
426,5.154704,1.0,30163
427,5.207757,1.0,30162
428,5.2947,1.0,30165
429,5.382925,1.0,30157
430,5.473847,1.0,26413
431,5.543442,1.0,30172
432,5.491095,1.0,30169
433,5.538034,1.0,30172
434,5.363869,1.0,30172
435,5.217906,1.0,29778
436,5.202548,1.0,30160
437,5.178236,1.0,30164
438,5.25598,1.0,30006
439,5.325018,1.0,30159
440,5.134705,1.0,30167
441,5.015401,1.0,30167
442,4.989148,1.0,30171
443,5.030261,1.0,30103
444,4.944404,1.0,28445
445,4.829029,1.0,30179
446,4.817139,1.0,30162
447,4.750864,1.0,29730
448,4.699883,1.0,30149
449,4.588384,1.0,29371
450,4.5611,1.0,28323
451,4.59832,1.0,30158
452,4.619744,1.0,30162
453,4.554975,1.0,28550
454,4.501067,1.0,30131
455,4.51492,1.0,29821
456,4.487759,1.0,30165
457,4.408453,1.0,30180
458,4.454513,1.0,30165
459,4.440038,1.0,30156
460,4.421272,1.0,29383
461,4.430639,1.0,30155
462,4.420074,1.0,30149
463,4.416899,1.0,28614
464,4.420131,1.0,30146
465,4.326146,1.0,29552
466,4.344426,1.0,30157
467,4.302648,1.0,30135
468,4.391937,1.0,30091
469,4.549939,1.0,30166
470,4.670264,1.0,30147
471,4.659841,1.0,29887
472,4.570647,1.0,30155
473,4.516848,1.0,29986
474,4.671315,1.0,30152
475,4.546395,1.0,30157
476,4.446471,1.0,30153
477,4.384945,1.0,30146
478,4.415008,1.0,30151
479,4.35736,1.0,30154
480,4.375185,1.0,30164
481,4.398859,1.0,30170
482,4.421119,1.0,30161
483,4.377421,1.0,30145
484,4.545827,1.0,30141
485,4.520774,1.0,30143
486,4.53066,1.0,30000
487,4.53419,1.0,30150
488,4.666659,1.0,30135
489,4.809591,1.0,30136
490,4.968044,1.0,30142
491,4.846098,1.0,28384
492,4.82931,1.0,29080
493,4.712421,1.0,30164
494,4.669001,1.0,30018
495,4.631174,1.0,30027
496,4.612737,1.0,30141
497,4.526606,1.0,30139
498,4.522824,1.0,30092
499,4.540415,1.0,27373
500,4.647487,1.0,30157
501,4.676815,1.0,30162
502,4.800988,1.0,30152
503,4.898204,1.0,30141
504,4.725069,1.0,30164
505,4.683202,1.0,30169
506,4.661453,1.0,30152
507,4.654392,1.0,30155
508,4.810046,1.0,30149
509,4.817692,1.0,30158
510,4.937588,1.0,30152
511,5.06419,1.0,30144
512,5.122539,1.0,30150
513,5.220676,1.0,30146
514,5.118055,1.0,30149
515,5.053437,1.0,30157
516,4.966322,1.0,30172
517,5.007296,1.0,30161
518,5.085672,1.0,30148
519,5.194932,1.0,30141
520,5.283374,1.0,29974
521,5.336743,1.0,30142
522,5.304562,1.0,30147
523,5.252908,1.0,30152
524,5.297045,1.0,29636
525,5.357162,1.0,30165
526,5.179727,1.0,30081
527,5.093096,1.0,30166
528,4.947099,1.0,30163
529,4.871559,1.0,29760
530,4.736685,1.0,30152
531,4.664417,1.0,30159
532,4.543905,1.0,30161
533,4.431015,1.0,30144
534,4.579289,1.0,30154
535,4.571726,1.0,30142
